CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,TARGET,AGE,EMPLOYMENT_YEARS
1,1,1,0,427500.0,4,1,0,4,1,1,0,0,17,2.0,0,32,12.443835616438356
1,1,1,0,427500.0,4,1,0,4,1,1,0,0,17,2.0,0,32,12.443835616438356
1,1,1,0,112500.0,4,4,1,1,1,0,0,0,16,2.0,0,58,3.106849315068493
0,0,1,0,270000.0,0,4,3,1,1,0,1,1,14,1.0,0,52,8.35890410958904
0,0,1,0,270000.0,0,4,3,1,1,0,1,1,14,1.0,0,52,8.35890410958904
0,0,1,0,270000.0,0,4,3,1,1,0,1,1,14,1.0,0,52,8.35890410958904
0,0,1,0,270000.0,0,4,3,1,1,0,1,1,14,1.0,0,52,8.35890410958904
0,0,1,0,283500.0,1,1,2,1,1,0,0,0,17,1.0,0,61,5.457534246575342
0,0,1,0,283500.0,1,1,2,1,1,0,0,0,17,1.0,0,61,5.457534246575342
0,0,1,0,283500.0,1,1,2,1,1,0,0,0,17,1.0,0,61,5.457534246575342
1,1,1,0,270000.0,4,1,1,1,1,1,1,1,0,2.0,0,46,2.106849315068493
1,1,1,0,270000.0,4,1,1,1,1,1,1,1,0,2.0,0,46,2.106849315068493
1,1,1,0,135000.0,0,4,1,1,1,0,0,0,8,2.0,0,48,3.271232876712329
1,1,1,0,135000.0,0,4,1,1,1,0,0,0,8,2.0,0,48,3.271232876712329
1,1,1,0,135000.0,0,4,1,1,1,0,0,0,8,2.0,0,48,3.271232876712329
1,1,1,0,135000.0,0,4,1,1,1,0,0,0,8,2.0,0,48,3.271232876712329
1,1,1,0,135000.0,0,4,1,1,1,0,0,0,8,2.0,0,48,3.271232876712329
1,1,1,0,135000.0,0,4,1,1,1,0,0,0,8,2.0,0,48,3.271232876712329
0,1,0,0,130500.0,4,2,1,1,1,0,0,0,0,2.0,0,29,3.021917808219178
0,1,0,0,130500.0,4,2,1,1,1,0,0,0,0,2.0,0,29,3.021917808219178
0,0,1,0,157500.0,4,4,1,1,1,0,1,0,8,2.0,0,27,4.024657534246575
0,0,1,0,157500.0,4,4,1,1,1,0,1,0,8,2.0,0,27,4.024657534246575
0,0,1,0,157500.0,4,4,1,1,1,0,1,0,8,2.0,0,27,4.024657534246575
0,0,1,1,112500.0,4,4,3,1,1,0,0,0,17,2.0,0,30,4.438356164383562
0,0,1,1,112500.0,4,4,3,1,1,0,0,0,17,2.0,0,30,4.438356164383562
1,1,1,3,270000.0,4,4,1,1,1,0,0,0,8,5.0,0,34,3.186301369863014
1,1,1,3,270000.0,4,4,1,1,1,0,0,0,8,5.0,0,34,3.186301369863014
1,0,1,1,405000.0,0,1,1,1,1,0,0,0,10,3.0,0,32,5.523287671232877
1,0,1,1,405000.0,0,1,1,1,1,0,0,0,10,3.0,0,32,5.523287671232877
1,0,1,1,405000.0,0,1,1,1,1,0,0,0,10,3.0,0,32,5.523287671232877
1,0,1,1,405000.0,0,1,1,1,1,0,0,0,10,3.0,0,32,5.523287671232877
1,0,1,1,405000.0,0,1,1,1,1,0,0,0,10,3.0,0,32,5.523287671232877
1,0,1,1,405000.0,0,1,1,1,1,0,0,0,10,3.0,0,32,5.523287671232877
1,1,1,0,112500.0,0,4,1,1,1,0,1,0,4,2.0,0,56,12.191780821917808
1,1,1,0,112500.0,0,4,1,1,1,0,1,0,4,2.0,0,56,12.191780821917808
1,1,1,0,112500.0,0,4,1,1,1,0,1,0,4,2.0,0,56,12.191780821917808
1,1,1,0,112500.0,0,4,1,1,1,0,1,0,4,2.0,0,56,12.191780821917808
1,1,1,0,112500.0,0,4,1,1,1,0,1,0,4,2.0,0,56,12.191780821917808
1,1,1,0,112500.0,0,4,1,1,1,0,1,0,4,2.0,0,56,12.191780821917808
1,1,1,0,112500.0,0,4,1,1,1,0,1,0,4,2.0,0,56,12.191780821917808
1,1,1,0,112500.0,0,4,1,1,1,0,1,0,4,2.0,0,56,12.191780821917808
0,1,1,2,135000.0,4,4,1,1,1,0,0,0,8,4.0,0,43,8.693150684931506
0,1,1,2,135000.0,4,4,1,1,1,0,0,0,8,4.0,0,43,8.693150684931506
0,1,1,2,135000.0,4,4,1,1,1,0,0,0,8,4.0,0,43,8.693150684931506
0,1,1,2,135000.0,4,4,1,1,1,0,0,0,8,4.0,0,43,8.693150684931506
0,1,1,2,135000.0,4,4,1,1,1,0,0,0,8,4.0,0,43,8.693150684931506
0,1,1,2,135000.0,4,4,1,1,1,0,0,0,8,4.0,0,43,8.693150684931506
0,1,1,2,135000.0,4,4,1,1,1,0,0,0,8,4.0,0,43,8.693150684931506
0,1,1,2,135000.0,4,4,1,1,1,0,0,0,8,4.0,0,43,8.693150684931506
0,1,1,2,135000.0,4,4,1,1,1,0,0,0,8,4.0,0,43,8.693150684931506
0,1,1,2,135000.0,4,4,1,1,1,0,0,0,8,4.0,0,43,8.693150684931506
0,1,1,2,135000.0,4,4,1,1,1,0,0,0,8,4.0,0,43,8.693150684931506
0,1,1,2,135000.0,4,4,1,1,1,0,0,0,8,4.0,0,43,8.693150684931506
0,1,1,2,135000.0,4,4,1,1,1,0,0,0,8,4.0,0,43,8.693150684931506
0,1,1,2,135000.0,4,4,1,1,1,0,0,0,8,4.0,0,43,8.693150684931506
0,1,1,2,135000.0,4,4,1,1,1,0,0,0,8,4.0,0,43,8.693150684931506
0,0,1,1,211500.0,2,4,0,1,1,0,0,0,3,3.0,0,44,19.44931506849315
0,0,1,1,211500.0,2,4,0,1,1,0,0,0,3,3.0,0,44,19.44931506849315
1,1,1,0,360000.0,0,4,1,1,1,0,1,0,16,2.0,0,45,14.695890410958905
0,0,1,2,126000.0,0,1,1,1,1,0,0,1,10,4.0,0,34,4.857534246575343
0,0,1,2,126000.0,0,1,1,1,1,0,0,1,10,4.0,0,34,4.857534246575343
0,0,1,2,126000.0,0,1,1,1,1,0,0,1,10,4.0,0,34,4.857534246575343
0,0,1,2,126000.0,0,1,1,1,1,0,0,1,10,4.0,0,34,4.857534246575343
